InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV500001,SPO0147,Nikon Large Fishing Rod,2,2020-06-15 14:26:00,259.35,11630,Brazil
INV500002,HOM0076,Bosch Pro Mattress,4,2021-01-03 15:00:00,730.86,11035,China
INV500003,TOY0062,Dell Large Science Kit,9,2023-12-27 15:47:00,79.79,10342,South Korea
INV500004,FAS0065,Microsoft Deluxe Sunglasses,7,2020-02-19 19:10:00,215.28,10207,Japan
INV500005,AUT0068,Standard Blue Car Vacuum,9,2022-03-05 14:22:00,162.89,10150,United Kingdom
INV500006,ELE0206,Nike Keyboard,4,2023-12-29 12:07:00,1764.69,10262,Brazil
INV500007,FAS0460,Bosch Purple T-Shirt,6,2023-04-26 17:39:00,94.22,10690,United States
INV500008,BOO0370,IKEA Purple Health Book,6,2022-07-08 14:40:00,18.92,10221,Sweden
INV500009,ELE0380,Nikon Printer,5,2024-03-31 15:44:00,1363.43,10922,Mexico
INV500010,OFF0376,Samsung Black Marker,10,2024-08-06 16:05:00,44.17,10276,Spain
INV500011,HOM0459,Amazon Deluxe Table,10,2022-01-27 18:41:00,617.25,10312,Sweden
INV500012,KIT0195,Amazon Gold Toaster,3,2022-11-07 19:37:00,497.01,10929,Belgium
INV500013,ELE0484,Amazon Blue Cable,4,2021-08-31 15:21:00,1023.74,10573,Italy
INV500014,HOM0289,Target Red Sofa,9,2023-04-02 16:54:00,110.97,10099,Belgium
INV500015,BOO0219,HP Cookbook,7,2021-10-14 20:11:00,21.05,11901,United Kingdom
INV500016,HOM0074,Generic Decorative Item,4,2022-05-31 16:17:00,257.96,11953,Germany
INV500017,SPO0451,Canon Deluxe Yoga Mat,2,2021-12-12 12:10:00,358.36,11178,Brazil
INV500018,FAS0148,Sony Pro Scarf,8,2021-04-03 10:18:00,280.43,10243,Canada
INV500019,SPO0470,LG Pink Golf Club,10,2024-03-23 09:59:00,70.11,11924,Netherlands
INV500020,HOM0342,Basic Red Plant Pot,2,2021-02-27 16:53:00,139.15,10475,Mexico
INV500021,TOY0387,Panasonic Compact Musical Instrument,10,2020-03-22 16:34:00,97.64,11042,Germany
INV500022,FAS0100,Sony Skirt,1,2022-01-26 11:18:00,31.36,11637,Belgium
INV500023,BOO0486,Sony Orange Technology Book,8,2022-12-02 10:53:00,11.44,11929,Mexico
INV500024,HOM0152,Luxury Max Storage Box,17,2022-06-29 14:31:00,629.01,10930,United Kingdom
INV500025,HOM0045,Walmart Pro Table,5,2024-02-07 18:07:00,792.51,10539,Belgium
